episode      1, score -20, own  1, enemy 21, mean -21.00
episode      2, score -21, own  0, enemy 21, mean -20.99
episode      3, score -21, own  0, enemy 21, mean -20.99
episode      4, score -21, own  0, enemy 21, mean -20.99
episode      5, score -21, own  0, enemy 21, mean -20.99
episode      6, score -20, own  1, enemy 21, mean -20.99
episode      7, score -21, own  0, enemy 21, mean -20.98
episode      8, score -21, own  0, enemy 21, mean -20.98
episode      9, score -21, own  0, enemy 21, mean -20.98
episode     10, score -21, own  0, enemy 21, mean -20.98
episode     11, score -21, own  0, enemy 21, mean -20.98
episode     12, score -21, own  0, enemy 21, mean -20.98
episode     13, score -20, own  1, enemy 21, mean -20.98
episode     14, score -20, own  1, enemy 21, mean -20.97
episode     15, score -20, own  1, enemy 21, mean -20.96
episode     16, score -21, own  0, enemy 21, mean -20.95
episode     17, score -20, own  1, enemy 21, mean -20.95
episode     18, score -20, own  1, enemy 21, mean -20.94
episode     19, score -20, own  1, enemy 21, mean -20.93
episode     20, score -20, own  1, enemy 21, mean -20.92
episode     21, score -20, own  1, enemy 21, mean -20.92
episode     22, score -21, own  0, enemy 21, mean -20.91
episode     23, score -18, own  3, enemy 21, mean -20.91
episode     24, score -21, own  0, enemy 21, mean -20.88
episode     25, score -21, own  0, enemy 21, mean -20.88
episode     26, score -21, own  0, enemy 21, mean -20.88
episode     27, score -20, own  1, enemy 21, mean -20.88
episode     28, score -21, own  0, enemy 21, mean -20.87
episode     29, score -20, own  1, enemy 21, mean -20.87
episode     30, score -21, own  0, enemy 21, mean -20.87
episode     31, score -20, own  1, enemy 21, mean -20.87
episode     32, score -21, own  0, enemy 21, mean -20.86
episode     33, score -19, own  2, enemy 21, mean -20.86
episode     34, score -21, own  0, enemy 21, mean -20.84
episode     35, score -20, own  1, enemy 21, mean -20.84
episode     36, score -20, own  1, enemy 21, mean -20.83
episode     37, score -21, own  0, enemy 21, mean -20.83
episode     38, score -20, own  1, enemy 21, mean -20.83
episode     39, score -18, own  3, enemy 21, mean -20.82
episode     40, score -20, own  1, enemy 21, mean -20.79
episode     41, score -19, own  2, enemy 21, mean -20.78
episode     42, score -18, own  3, enemy 21, mean -20.77
episode     43, score -18, own  3, enemy 21, mean -20.74
episode     44, score -20, own  1, enemy 21, mean -20.71
episode     45, score -20, own  1, enemy 21, mean -20.70
episode     46, score -17, own  4, enemy 21, mean -20.70
episode     47, score -20, own  1, enemy 21, mean -20.66
episode     48, score -21, own  0, enemy 21, mean -20.65
episode     49, score -21, own  0, enemy 21, mean -20.66
episode     50, score -21, own  0, enemy 21, mean -20.66
episode     51, score -19, own  2, enemy 21, mean -20.66
episode     52, score -20, own  1, enemy 21, mean -20.65
episode     53, score -19, own  2, enemy 21, mean -20.64
episode     54, score -21, own  0, enemy 21, mean -20.62
episode     55, score -19, own  2, enemy 21, mean -20.63
episode     56, score -18, own  3, enemy 21, mean -20.61
episode     57, score -19, own  2, enemy 21, mean -20.58
episode     58, score -19, own  2, enemy 21, mean -20.57
episode     59, score -19, own  2, enemy 21, mean -20.55
episode     60, score -21, own  0, enemy 21, mean -20.54
episode     61, score -21, own  0, enemy 21, mean -20.54
episode     62, score -20, own  1, enemy 21, mean -20.55
episode     63, score -21, own  0, enemy 21, mean -20.54
episode     64, score -19, own  2, enemy 21, mean -20.55
episode     65, score -17, own  4, enemy 21, mean -20.53
episode     66, score -18, own  3, enemy 21, mean -20.50
episode     67, score -17, own  4, enemy 21, mean -20.47
episode     68, score -19, own  2, enemy 21, mean -20.44
episode     69, score -21, own  0, enemy 21, mean -20.42
episode     70, score -18, own  3, enemy 21, mean -20.43
episode     71, score -18, own  3, enemy 21, mean -20.40
episode     72, score -16, own  5, enemy 21, mean -20.38
episode     73, score -19, own  2, enemy 21, mean -20.33
episode     74, score -19, own  2, enemy 21, mean -20.32
episode     75, score -20, own  1, enemy 21, mean -20.31
episode     76, score -19, own  2, enemy 21, mean -20.31
episode     77, score -17, own  4, enemy 21, mean -20.29
episode     78, score -21, own  0, enemy 21, mean -20.26
episode     79, score -21, own  0, enemy 21, mean -20.27
episode     80, score -19, own  2, enemy 21, mean -20.27
episode     81, score -19, own  2, enemy 21, mean -20.26
episode     82, score -19, own  2, enemy 21, mean -20.25
episode     83, score -19, own  2, enemy 21, mean -20.24
episode     84, score -21, own  0, enemy 21, mean -20.22
episode     85, score -20, own  1, enemy 21, mean -20.23
episode     86, score -18, own  3, enemy 21, mean -20.23
episode     87, score -20, own  1, enemy 21, mean -20.21
episode     88, score -21, own  0, enemy 21, mean -20.20
episode     89, score -21, own  0, enemy 21, mean -20.21
episode     90, score -20, own  1, enemy 21, mean -20.22
episode     91, score -17, own  4, enemy 21, mean -20.22
episode     92, score -18, own  3, enemy 21, mean -20.19
episode     93, score -19, own  2, enemy 21, mean -20.16
episode     94, score -19, own  2, enemy 21, mean -20.15
episode     95, score -19, own  2, enemy 21, mean -20.14
episode     96, score -20, own  1, enemy 21, mean -20.13
episode     97, score -19, own  2, enemy 21, mean -20.13
episode     98, score -18, own  3, enemy 21, mean -20.12
episode     99, score -20, own  1, enemy 21, mean -20.10
episode    100, score -21, own  0, enemy 21, mean -20.10
episode    101, score -19, own  2, enemy 21, mean -20.10
episode    102, score -16, own  5, enemy 21, mean -20.09
episode    103, score -21, own  0, enemy 21, mean -20.05
episode    104, score -19, own  2, enemy 21, mean -20.06
episode    105, score -19, own  2, enemy 21, mean -20.05
episode    106, score -19, own  2, enemy 21, mean -20.04
episode    107, score -19, own  2, enemy 21, mean -20.03
episode    108, score -20, own  1, enemy 21, mean -20.02
episode    109, score -19, own  2, enemy 21, mean -20.02
episode    110, score -19, own  2, enemy 21, mean -20.01
episode    111, score -18, own  3, enemy 21, mean -20.00
episode    112, score -19, own  2, enemy 21, mean -19.98
episode    113, score -18, own  3, enemy 21, mean -19.97
episode    114, score -17, own  4, enemy 21, mean -19.95
episode    115, score -21, own  0, enemy 21, mean -19.92
episode    116, score -18, own  3, enemy 21, mean -19.93
episode    117, score -15, own  6, enemy 21, mean -19.91
episode    118, score -12, own  9, enemy 21, mean -19.86
episode    119, score -19, own  2, enemy 21, mean -19.78
episode    120, score -19, own  2, enemy 21, mean -19.78
episode    121, score -11, own 10, enemy 21, mean -19.77
episode    122, score -14, own  7, enemy 21, mean -19.68
episode    123, score -20, own  1, enemy 21, mean -19.62
episode    124, score -20, own  1, enemy 21, mean -19.63
episode    125, score -19, own  2, enemy 21, mean -19.63
episode    126, score -19, own  2, enemy 21, mean -19.63
episode    127, score -19, own  2, enemy 21, mean -19.62
episode    128, score -17, own  4, enemy 21, mean -19.61
episode    129, score -18, own  3, enemy 21, mean -19.59
episode    130, score -20, own  1, enemy 21, mean -19.57
episode    131, score -19, own  2, enemy 21, mean -19.58
episode    132, score -20, own  1, enemy 21, mean -19.57
episode    133, score -18, own  3, enemy 21, mean -19.57
episode    134, score -18, own  3, enemy 21, mean -19.56
episode    135, score -15, own  6, enemy 21, mean -19.54
episode    136, score -15, own  6, enemy 21, mean -19.50
episode    137, score -21, own  0, enemy 21, mean -19.45
episode    138, score -21, own  0, enemy 21, mean -19.47
episode    139, score -21, own  0, enemy 21, mean -19.48
episode    140, score -17, own  4, enemy 21, mean -19.50
episode    141, score -21, own  0, enemy 21, mean -19.47
episode    142, score -21, own  0, enemy 21, mean -19.49
episode    143, score -21, own  0, enemy 21, mean -19.50
episode    144, score -19, own  2, enemy 21, mean -19.52
episode    145, score -20, own  1, enemy 21, mean -19.51
episode    146, score -18, own  3, enemy 21, mean -19.52
episode    147, score -17, own  4, enemy 21, mean -19.50
episode    148, score -19, own  2, enemy 21, mean -19.48
episode    149, score -18, own  3, enemy 21, mean -19.47
episode    150, score -19, own  2, enemy 21, mean -19.46
episode    151, score -17, own  4, enemy 21, mean -19.45
episode    152, score -19, own  2, enemy 21, mean -19.43
episode    153, score -20, own  1, enemy 21, mean -19.42
episode    154, score -21, own  0, enemy 21, mean -19.43
episode    155, score -20, own  1, enemy 21, mean -19.45
episode    156, score -21, own  0, enemy 21, mean -19.45
episode    157, score -17, own  4, enemy 21, mean -19.47
episode    158, score -20, own  1, enemy 21, mean -19.44
episode    159, score -19, own  2, enemy 21, mean -19.45
episode    160, score -18, own  3, enemy 21, mean -19.44
episode    161, score -20, own  1, enemy 21, mean -19.43
episode    162, score -21, own  0, enemy 21, mean -19.44
episode    163, score -20, own  1, enemy 21, mean -19.45
episode    164, score -18, own  3, enemy 21, mean -19.46
episode    165, score -21, own  0, enemy 21, mean -19.44
episode    166, score -18, own  3, enemy 21, mean -19.46
episode    167, score -21, own  0, enemy 21, mean -19.44
episode    168, score -19, own  2, enemy 21, mean -19.46
episode    169, score -20, own  1, enemy 21, mean -19.45
episode    170, score -19, own  2, enemy 21, mean -19.46
episode    171, score -19, own  2, enemy 21, mean -19.45
episode    172, score -19, own  2, enemy 21, mean -19.45
episode    173, score -19, own  2, enemy 21, mean -19.45
episode    174, score -20, own  1, enemy 21, mean -19.44
episode    175, score -17, own  4, enemy 21, mean -19.45
episode    176, score -19, own  2, enemy 21, mean -19.42
episode    177, score -19, own  2, enemy 21, mean -19.42
episode    178, score -17, own  4, enemy 21, mean -19.41
episode    179, score -19, own  2, enemy 21, mean -19.39
episode    180, score -21, own  0, enemy 21, mean -19.39
episode    181, score -19, own  2, enemy 21, mean -19.40
episode    182, score -19, own  2, enemy 21, mean -19.40
episode    183, score -18, own  3, enemy 21, mean -19.39
episode    184, score -19, own  2, enemy 21, mean -19.38
episode    185, score -17, own  4, enemy 21, mean -19.38
episode    186, score -21, own  0, enemy 21, mean -19.35
episode    187, score -19, own  2, enemy 21, mean -19.37
episode    188, score -16, own  5, enemy 21, mean -19.37
episode    189, score -21, own  0, enemy 21, mean -19.33
episode    190, score -19, own  2, enemy 21, mean -19.35
episode    191, score -20, own  1, enemy 21, mean -19.34
episode    192, score -18, own  3, enemy 21, mean -19.35
episode    193, score -18, own  3, enemy 21, mean -19.34
episode    194, score -20, own  1, enemy 21, mean -19.32
episode    195, score -18, own  3, enemy 21, mean -19.33
episode    196, score -19, own  2, enemy 21, mean -19.32
episode    197, score -19, own  2, enemy 21, mean -19.31
episode    198, score -19, own  2, enemy 21, mean -19.31
episode    199, score -19, own  2, enemy 21, mean -19.31
episode    200, score -19, own  2, enemy 21, mean -19.31
episode    201, score -19, own  2, enemy 21, mean -19.30
episode    202, score -20, own  1, enemy 21, mean -19.30
episode    203, score -18, own  3, enemy 21, mean -19.31
episode    204, score -19, own  2, enemy 21, mean -19.29
episode    205, score -19, own  2, enemy 21, mean -19.29
episode    206, score -17, own  4, enemy 21, mean -19.29
episode    207, score -15, own  6, enemy 21, mean -19.26
episode    208, score -19, own  2, enemy 21, mean -19.22
episode    209, score -20, own  1, enemy 21, mean -19.22
episode    210, score -20, own  1, enemy 21, mean -19.23
episode    211, score -21, own  0, enemy 21, mean -19.24
episode    212, score -18, own  3, enemy 21, mean -19.25
episode    213, score -20, own  1, enemy 21, mean -19.24
episode    214, score -18, own  3, enemy 21, mean -19.25
episode    215, score -17, own  4, enemy 21, mean -19.24
episode    216, score -14, own  7, enemy 21, mean -19.21
episode    217, score -19, own  2, enemy 21, mean -19.16
episode    218, score -21, own  0, enemy 21, mean -19.16
episode    219, score -19, own  2, enemy 21, mean -19.18
episode    220, score -21, own  0, enemy 21, mean -19.18
episode    221, score -17, own  4, enemy 21, mean -19.19
episode    222, score -15, own  6, enemy 21, mean -19.17
episode    223, score -15, own  6, enemy 21, mean -19.13
episode    224, score -18, own  3, enemy 21, mean -19.09
episode    225, score -17, own  4, enemy 21, mean -19.08
episode    226, score -20, own  1, enemy 21, mean -19.06
episode    227, score -21, own  0, enemy 21, mean -19.07
episode    228, score -13, own  8, enemy 21, mean -19.09
episode    229, score -19, own  2, enemy 21, mean -19.03
episode    230, score -17, own  4, enemy 21, mean -19.03
episode    231, score -20, own  1, enemy 21, mean -19.00
episode    232, score -19, own  2, enemy 21, mean -19.01
episode    233, score -16, own  5, enemy 21, mean -19.01
episode    234, score -21, own  0, enemy 21, mean -18.98
episode    235, score -21, own  0, enemy 21, mean -19.00
episode    236, score -20, own  1, enemy 21, mean -19.02
episode    237, score -19, own  2, enemy 21, mean -19.03
episode    238, score -21, own  0, enemy 21, mean -19.03
episode    239, score -21, own  0, enemy 21, mean -19.05
episode    240, score -21, own  0, enemy 21, mean -19.07
episode    241, score -19, own  2, enemy 21, mean -19.09
episode    242, score -17, own  4, enemy 21, mean -19.09
episode    243, score -20, own  1, enemy 21, mean -19.07
episode    244, score -19, own  2, enemy 21, mean -19.08
episode    245, score -18, own  3, enemy 21, mean -19.08
episode    246, score -21, own  0, enemy 21, mean -19.07
episode    247, score -19, own  2, enemy 21, mean -19.09
episode    248, score -16, own  5, enemy 21, mean -19.09
episode    249, score -21, own  0, enemy 21, mean -19.06
episode    250, score -19, own  2, enemy 21, mean -19.08
episode    251, score -17, own  4, enemy 21, mean -19.07
episode    252, score -20, own  1, enemy 21, mean -19.05
episode    253, score -19, own  2, enemy 21, mean -19.06
episode    254, score -17, own  4, enemy 21, mean -19.06
episode    255, score -21, own  0, enemy 21, mean -19.04
episode    256, score -17, own  4, enemy 21, mean -19.06
episode    257, score -19, own  2, enemy 21, mean -19.04
episode    258, score -21, own  0, enemy 21, mean -19.04
episode    259, score -17, own  4, enemy 21, mean -19.06
episode    260, score -16, own  5, enemy 21, mean -19.04
episode    261, score -19, own  2, enemy 21, mean -19.01
episode    262, score -19, own  2, enemy 21, mean -19.01
episode    263, score -19, own  2, enemy 21, mean -19.01
episode    264, score -18, own  3, enemy 21, mean -19.01
episode    265, score -18, own  3, enemy 21, mean -19.00
episode    266, score -19, own  2, enemy 21, mean -18.99
episode    267, score -15, own  6, enemy 21, mean -18.99
episode    268, score -21, own  0, enemy 21, mean -18.95
episode    269, score -19, own  2, enemy 21, mean -18.97
episode    270, score -19, own  2, enemy 21, mean -18.97
episode    271, score -18, own  3, enemy 21, mean -18.97
episode    272, score -18, own  3, enemy 21, mean -18.96
episode    273, score -21, own  0, enemy 21, mean -18.95
episode    274, score -18, own  3, enemy 21, mean -18.97
episode    275, score -17, own  4, enemy 21, mean -18.96
episode    276, score -18, own  3, enemy 21, mean -18.94
episode    277, score -17, own  4, enemy 21, mean -18.93
episode    278, score -18, own  3, enemy 21, mean -18.91
episode    279, score -21, own  0, enemy 21, mean -18.90
episode    280, score -19, own  2, enemy 21, mean -18.93
episode    281, score -19, own  2, enemy 21, mean -18.93
episode    282, score -17, own  4, enemy 21, mean -18.93
episode    283, score -13, own  8, enemy 21, mean -18.91
episode    284, score -21, own  0, enemy 21, mean -18.85
episode    285, score -19, own  2, enemy 21, mean -18.87
episode    286, score -21, own  0, enemy 21, mean -18.87
episode    287, score -17, own  4, enemy 21, mean -18.89
episode    288, score -19, own  2, enemy 21, mean -18.87
episode    289, score -17, own  4, enemy 21, mean -18.87
episode    290, score -19, own  2, enemy 21, mean -18.86
episode    291, score -17, own  4, enemy 21, mean -18.86
episode    292, score -19, own  2, enemy 21, mean -18.84
episode    293, score -20, own  1, enemy 21, mean -18.84
episode    294, score -19, own  2, enemy 21, mean -18.85
episode    295, score -17, own  4, enemy 21, mean -18.85
episode    296, score -15, own  6, enemy 21, mean -18.83
episode    297, score -19, own  2, enemy 21, mean -18.80
episode    298, score -19, own  2, enemy 21, mean -18.80
episode    299, score -18, own  3, enemy 21, mean -18.80
episode    300, score -15, own  6, enemy 21, mean -18.79
episode    301, score -19, own  2, enemy 21, mean -18.75
episode    302, score -19, own  2, enemy 21, mean -18.76
episode    303, score -21, own  0, enemy 21, mean -18.76
episode    304, score -19, own  2, enemy 21, mean -18.78
episode    305, score -21, own  0, enemy 21, mean -18.78
episode    306, score -18, own  3, enemy 21, mean -18.81
episode    307, score -19, own  2, enemy 21, mean -18.80
episode    308, score -19, own  2, enemy 21, mean -18.80
episode    309, score -17, own  4, enemy 21, mean -18.80
episode    310, score -17, own  4, enemy 21, mean -18.78
episode    311, score -21, own  0, enemy 21, mean -18.77
episode    312, score -15, own  6, enemy 21, mean -18.79
episode    313, score -19, own  2, enemy 21, mean -18.75
episode    314, score -21, own  0, enemy 21, mean -18.75
episode    315, score -19, own  2, enemy 21, mean -18.78
episode    316, score -17, own  4, enemy 21, mean -18.78
episode    317, score -15, own  6, enemy 21, mean -18.76
episode    318, score -15, own  6, enemy 21, mean -18.72
episode    319, score -20, own  1, enemy 21, mean -18.69
episode    320, score -17, own  4, enemy 21, mean -18.70
episode    321, score -19, own  2, enemy 21, mean -18.68
episode    322, score -17, own  4, enemy 21, mean -18.68
episode    323, score -16, own  5, enemy 21, mean -18.67
episode    324, score -19, own  2, enemy 21, mean -18.64
episode    325, score -19, own  2, enemy 21, mean -18.64
episode    326, score -14, own  7, enemy 21, mean -18.65
episode    327, score -17, own  4, enemy 21, mean -18.60
episode    328, score -19, own  2, enemy 21, mean -18.59
episode    329, score -17, own  4, enemy 21, mean -18.59
episode    330, score -19, own  2, enemy 21, mean -18.57
episode    331, score -16, own  5, enemy 21, mean -18.58
episode    332, score -17, own  4, enemy 21, mean -18.55
episode    333, score -21, own  0, enemy 21, mean -18.54
episode    334, score -20, own  1, enemy 21, mean -18.56
episode    335, score -17, own  4, enemy 21, mean -18.58
episode    336, score -14, own  7, enemy 21, mean -18.56
episode    337, score -14, own  7, enemy 21, mean -18.51
episode    338, score -18, own  3, enemy 21, mean -18.47
episode    339, score -19, own  2, enemy 21, mean -18.46
episode    340, score -19, own  2, enemy 21, mean -18.47
episode    341, score -16, own  5, enemy 21, mean -18.48
episode    342, score -18, own  3, enemy 21, mean -18.45
episode    343, score -19, own  2, enemy 21, mean -18.45
episode    344, score -18, own  3, enemy 21, mean -18.45
episode    345, score -19, own  2, enemy 21, mean -18.45
episode    346, score -19, own  2, enemy 21, mean -18.45
episode    347, score -16, own  5, enemy 21, mean -18.46
episode    348, score -16, own  5, enemy 21, mean -18.43
episode    349, score -13, own  8, enemy 21, mean -18.41
episode    350, score -14, own  7, enemy 21, mean -18.36
episode    351, score -19, own  2, enemy 21, mean -18.31
episode    352, score -15, own  6, enemy 21, mean -18.32
episode    353, score -19, own  2, enemy 21, mean -18.29
episode    354, score -14, own  7, enemy 21, mean -18.29
episode    355, score -17, own  4, enemy 21, mean -18.25
episode    356, score -17, own  4, enemy 21, mean -18.24
episode    357, score -21, own  0, enemy 21, mean -18.22
episode    358, score -19, own  2, enemy 21, mean -18.25
episode    359, score -19, own  2, enemy 21, mean -18.26
episode    360, score -14, own  7, enemy 21, mean -18.27
episode    361, score -19, own  2, enemy 21, mean -18.22
episode    362, score -17, own  4, enemy 21, mean -18.23
episode    363, score -16, own  5, enemy 21, mean -18.22
episode    364, score -16, own  5, enemy 21, mean -18.20
episode    365, score -15, own  6, enemy 21, mean -18.18
episode    366, score -20, own  1, enemy 21, mean -18.14
episode    367, score -18, own  3, enemy 21, mean -18.16
episode    368, score -19, own  2, enemy 21, mean -18.16
episode    369, score -18, own  3, enemy 21, mean -18.17
episode    370, score -18, own  3, enemy 21, mean -18.17
episode    371, score -14, own  7, enemy 21, mean -18.17
episode    372, score -18, own  3, enemy 21, mean -18.12
episode    373, score -19, own  2, enemy 21, mean -18.12
episode    374, score -13, own  8, enemy 21, mean -18.13
episode    375, score -19, own  2, enemy 21, mean -18.08
episode    376, score -15, own  6, enemy 21, mean -18.09
episode    377, score -19, own  2, enemy 21, mean -18.06
episode    378, score -13, own  8, enemy 21, mean -18.07
episode    379, score -17, own  4, enemy 21, mean -18.02
episode    380, score -17, own  4, enemy 21, mean -18.01
episode    381, score -19, own  2, enemy 21, mean -18.00
episode    382, score -14, own  7, enemy 21, mean -18.01
episode    383, score -19, own  2, enemy 21, mean -17.97
episode    384, score -19, own  2, enemy 21, mean -17.98
episode    385, score -15, own  6, enemy 21, mean -17.99
episode    386, score -16, own  5, enemy 21, mean -17.96
episode    387, score -17, own  4, enemy 21, mean -17.94
episode    388, score -18, own  3, enemy 21, mean -17.93
episode    389, score -18, own  3, enemy 21, mean -17.93
episode    390, score -19, own  2, enemy 21, mean -17.93
episode    391, score -13, own  8, enemy 21, mean -17.94
episode    392, score -21, own  0, enemy 21, mean -17.89
episode    393, score -18, own  3, enemy 21, mean -17.92
episode    394, score -18, own  3, enemy 21, mean -17.92
episode    395, score -21, own  0, enemy 21, mean -17.92
episode    396, score -15, own  6, enemy 21, mean -17.96
episode    397, score -15, own  6, enemy 21, mean -17.93
episode    398, score -17, own  4, enemy 21, mean -17.90
episode    399, score -13, own  8, enemy 21, mean -17.89
episode    400, score -18, own  3, enemy 21, mean -17.84
episode    401, score -15, own  6, enemy 21, mean -17.84
episode    402, score -19, own  2, enemy 21, mean -17.81
episode    403, score -17, own  4, enemy 21, mean -17.82
episode    404, score -19, own  2, enemy 21, mean -17.82
episode    405, score -14, own  7, enemy 21, mean -17.83
episode    406, score -17, own  4, enemy 21, mean -17.79
episode    407, score -17, own  4, enemy 21, mean -17.78
episode    408, score -20, own  1, enemy 21, mean -17.77
episode    409, score -19, own  2, enemy 21, mean -17.80
episode    410, score -15, own  6, enemy 21, mean -17.81
episode    411, score -14, own  7, enemy 21, mean -17.78
episode    412, score -19, own  2, enemy 21, mean -17.74
episode    413, score -15, own  6, enemy 21, mean -17.75
episode    414, score -19, own  2, enemy 21, mean -17.73
episode    415, score -17, own  4, enemy 21, mean -17.74
episode    416, score -17, own  4, enemy 21, mean -17.73
episode    417, score -15, own  6, enemy 21, mean -17.72
episode    418, score -19, own  2, enemy 21, mean -17.70
episode    419, score -20, own  1, enemy 21, mean -17.71
episode    420, score -19, own  2, enemy 21, mean -17.73
episode    421, score -20, own  1, enemy 21, mean -17.75
episode    422, score -19, own  2, enemy 21, mean -17.77
episode    423, score -13, own  8, enemy 21, mean -17.78
episode    424, score -17, own  4, enemy 21, mean -17.73
episode    425, score -19, own  2, enemy 21, mean -17.73
episode    426, score -18, own  3, enemy 21, mean -17.74
